инн,год,оценка,дата_регистрации,статус,нематериальные_активы,результаты_исследований_и_разработок,нематериальные_поисковые_активы,материальные_поисковые_активы,основные_средства,доходные_вложения_в_материальные_ценности,финансовые_вложения,отложенные_налоговые_активы,прочие_внеоборотные_активы,итого_по_разделу_i,запасы,налог_на_добавленную_стоимость_по_приобретенным_ценностям,дебиторская_задолженность,финансовые_вложения_(за_исключением_денежных_эквивалентов),денежные_средства_и_денежные_эквиваленты,прочие_оборотные_активы,итого_по_разделу_ii,баланс,"уставный_капитал_(складочный_капитал,_уставный_фонд,_вклады_товарищей)","собственные_акции,_выкупленные_у_акционеров",переоценка_внеоборотных_активов,добавочный_капитал_(без_переоценки),резервный_капитал,нераспределенная_прибыль_(непокрытый_убыток),итого_по_разделу_iii,заемные_средства,отложенные_налоговые_обязательства,оценочные_обязательства,прочие_обязательства,итого_по_разделу_iv,кредиторская_задолженность,доходы_будущих_периодов,итого_по_разделу_v,выручка,себестоимость_продаж,валовая_прибыль_(убыток),коммерческие_расходы,управленческие_расходы,прибыль_(убыток)_от_продаж,доходы_от_участия_в_других_организациях,проценты_к_получению,проценты_к_уплате,прочие_доходы,прочие_расходы,прибыль_(убыток)_до_налогообложения,текущий_налог_на_прибыль,постоянные_налоговые_обязательства_(активы),изменение_отложенных_налоговых_обязательств,изменение_отложенных_налоговых_активов,прочее,чистая_прибыль_(убыток),"результат_от_переоценки_внеоборотных_активов,_не_включаемый_в_чистую_прибыль_(убыток)_периода","результат_от_прочих_операций,_не_включаемый_в_чистую_прибыль_(убыток)_периода",совокупный_финансовый_результат_периода
7816152650,2016,низкий,02.12.1999,Действующее,0.0,0.0,0.0,0.0,2452000.0,0.0,0.0,0.0,0.0,2452000.0,12688000.0,0.0,3650000.0,0.0,256000.0,0.0,16594000.0,19046000.0,0.0,0.0,0.0,0.0,0.0,0.0,2043000.0,178000.0,0.0,0.0,0.0,7065000.0,9760000.0,0.0,9938000.0,15381000.0,18562000.0,-3181000.0,0.0,0.0,-3181000.0,0.0,0.0,844000.0,5832000.0,888000.0,919000.0,188000.0,0.0,0.0,0.0,0.0,731000.0,0.0,0.0,0.0
7706221149,2018,средний,15.12.2000,Действующее,0.0,0.0,0.0,0.0,970000.0,0.0,37000.0,0.0,0.0,1007000.0,0.0,0.0,796000.0,0.0,2230000.0,0.0,3026000.0,4033000.0,0.0,0.0,0.0,0.0,0.0,0.0,206000.0,0.0,0.0,0.0,0.0,0.0,3827000.0,0.0,3827000.0,69423000.0,69377000.0,46000.0,0.0,0.0,46000.0,0.0,0.0,0.0,11000.0,460000.0,-403000.0,20000.0,0.0,0.0,0.0,0.0,-422000.0,0.0,0.0,0.0
7204020921,2018,высокий,15.09.1995,Действующее,0.0,0.0,0.0,0.0,232000.0,0.0,2000000.0,0.0,0.0,2232000.0,8382000.0,0.0,2701000.0,0.0,5544000.0,0.0,16627000.0,18859000.0,519000.0,-40000.0,0.0,0.0,26000.0,14428000.0,14933000.0,0.0,105000.0,360000.0,0.0,105000.0,3461000.0,0.0,3821000.0,116085000.0,110972000.0,5113000.0,1267000.0,0.0,3846000.0,0.0,252000.0,0.0,204000.0,2367000.0,1935000.0,651000.0,344000.0,-80000.0,0.0,-20000.0,1184000.0,0.0,0.0,1184000.0
7204020921,2017,высокий,15.09.1995,Действующее,0.0,0.0,0.0,0.0,223000.0,0.0,0.0,0.0,0.0,223000.0,8658000.0,0.0,1525000.0,2000000.0,7503000.0,0.0,19686000.0,19909000.0,519000.0,-40000.0,0.0,0.0,26000.0,13945000.0,14450000.0,0.0,25000.0,293000.0,0.0,25000.0,5141000.0,0.0,5434000.0,111142000.0,106609000.0,4533000.0,1276000.0,0.0,3257000.0,0.0,359000.0,0.0,602000.0,2647000.0,1571000.0,727000.0,336000.0,76000.0,0.0,0.0,920000.0,0.0,0.0,920000.0
7204020921,2016,высокий,15.09.1995,Действующее,0.0,0.0,0.0,0.0,313000.0,0.0,2000000.0,0.0,0.0,2313000.0,8453000.0,0.0,4351000.0,0.0,6753000.0,0.0,19557000.0,21870000.0,0.0,0.0,0.0,0.0,0.0,0.0,16225000.0,0.0,0.0,0.0,339000.0,101000.0,5205000.0,0.0,5544000.0,121579000.0,113435000.0,8144000.0,0.0,0.0,8144000.0,0.0,0.0,0.0,917000.0,2574000.0,6487000.0,1647000.0,0.0,0.0,0.0,0.0,4840000.0,0.0,0.0,0.0
2129040518,2018,средний,16.02.2001,Действующее,0.0,0.0,0.0,0.0,66271000.0,0.0,15000.0,758000.0,0.0,67044000.0,202473000.0,2357000.0,111523000.0,2495000.0,4727000.0,1381000.0,324956000.0,392000000.0,10000.0,0.0,0.0,0.0,0.0,178758000.0,178768000.0,31247000.0,100000.0,489000.0,0.0,6405000.0,175091000.0,0.0,206827000.0,412357000.0,394514000.0,17843000.0,1055000.0,0.0,16788000.0,184000.0,304000.0,0.0,95590000.0,93087000.0,19779000.0,4274000.0,-273000.0,-10000.0,43000.0,-2185000.0,13353000.0,0.0,0.0,13353000.0
2129040518,2017,средний,16.02.2001,Действующее,0.0,0.0,0.0,0.0,63754000.0,0.0,15000.0,715000.0,0.0,64484000.0,602524000.0,2425000.0,123595000.0,2495000.0,246000.0,1933000.0,733218000.0,797702000.0,10000.0,0.0,0.0,0.0,0.0,178696000.0,178706000.0,90740000.0,90000.0,278000.0,0.0,90000.0,527888000.0,0.0,618906000.0,291860000.0,263610000.0,28250000.0,6046000.0,0.0,22204000.0,0.0,425000.0,0.0,7398000.0,24369000.0,5658000.0,4584000.0,3311000.0,-59000.0,32000.0,0.0,1047000.0,0.0,0.0,1047000.0
2129040518,2016,средний,16.02.2001,Действующее,0.0,0.0,0.0,0.0,50059000.0,0.0,46137000.0,683000.0,0.0,96879000.0,266826000.0,6830000.0,84775000.0,3074000.0,1280000.0,809000.0,363594000.0,460473000.0,10000.0,0.0,0.0,0.0,0.0,175982000.0,175992000.0,12267000.0,31000.0,345000.0,0.0,31000.0,271838000.0,0.0,284450000.0,298104000.0,226152000.0,71952000.0,2677000.0,0.0,69275000.0,3845000.0,652000.0,0.0,11654000.0,22861000.0,62565000.0,12557000.0,-144000.0,31000.0,-69000.0,23000.0,49885000.0,0.0,0.0,49885000.0
6818029106,2018,средний,15.02.2007,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697000.0,0.0,0.0,0.0,2000.0,0.0,699000.0,699000.0,50000.0,0.0,0.0,0.0,0.0,590000.0,640000.0,0.0,0.0,0.0,0.0,0.0,59000.0,0.0,59000.0,8306000.0,8306000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6818029106,2017,средний,15.02.2007,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707000.0,0.0,0.0,0.0,13000.0,0.0,720000.0,720000.0,50000.0,0.0,0.0,0.0,0.0,590000.0,640000.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,80000.0,7850000.0,7850000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6818029106,2016,средний,15.02.2007,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617000.0,0.0,0.0,0.0,23000.0,0.0,640000.0,640000.0,50000.0,0.0,0.0,0.0,0.0,590000.0,640000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6678000.0,6672000.0,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,6000.0
7303026667,2018,низкий,25.01.2002,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7303026667,2017,низкий,25.01.2002,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7303026667,2016,низкий,25.01.2002,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5075013888,2018,низкий,01.06.1999,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5075013888,2017,низкий,01.06.1999,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5075013888,2016,низкий,01.06.1999,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5905265877,2018,высокий,15.10.2008,Действующее,0.0,0.0,0.0,0.0,35367000.0,0.0,0.0,250000.0,0.0,35617000.0,44609000.0,1678000.0,12925000.0,0.0,22837000.0,2174000.0,84223000.0,119840000.0,5000000.0,0.0,1175000.0,0.0,0.0,46025000.0,52200000.0,0.0,1582000.0,1006000.0,0.0,6069000.0,60565000.0,0.0,61572000.0,243677000.0,168152000.0,75525000.0,0.0,48291000.0,27234000.0,0.0,18000.0,925000.0,6874000.0,6828000.0,26373000.0,3220000.0,-52000.0,-1523000.0,250000.0,-298000.0,21582000.0,0.0,0.0,21582000.0
5905265877,2017,высокий,15.10.2008,Действующее,0.0,0.0,0.0,0.0,30964000.0,0.0,0.0,0.0,0.0,30964000.0,4536000.0,0.0,11147000.0,0.0,18007000.0,1763000.0,35452000.0,66416000.0,5000000.0,0.0,1175000.0,0.0,0.0,34451000.0,40626000.0,4615000.0,59000.0,0.0,0.0,7274000.0,13902000.0,0.0,18517000.0,107695000.0,67188000.0,40507000.0,0.0,33168000.0,7339000.0,0.0,135000.0,571000.0,7000000.0,2675000.0,11228000.0,1725000.0,0.0,0.0,0.0,0.0,9503000.0,1175000.0,0.0,10678000.0
5905265877,2016,высокий,15.10.2008,Действующее,0.0,0.0,0.0,0.0,24956000.0,0.0,0.0,0.0,0.0,24956000.0,4030000.0,302000.0,19981000.0,0.0,1965000.0,1025000.0,27303000.0,52259000.0,1676000.0,0.0,0.0,0.0,0.0,26123000.0,27799000.0,2185000.0,0.0,0.0,0.0,1683000.0,20592000.0,0.0,22777000.0,121623000.0,79987000.0,41636000.0,0.0,30444000.0,11192000.0,0.0,184000.0,705000.0,216000.0,2269000.0,8618000.0,1268000.0,0.0,0.0,0.0,333000.0,7017000.0,0.0,0.0,7017000.0
3016021040,2018,средний,12.08.1997,Действующее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
