инн,год,оценка,дата_регистрации,статус,нематериальные_активы,результаты_исследований_и_разработок,нематериальные_поисковые_активы,материальные_поисковые_активы,основные_средства,доходные_вложения_в_материальные_ценности,финансовые_вложения,отложенные_налоговые_активы,прочие_внеоборотные_активы,итого_по_разделу_i,запасы,налог_на_добавленную_стоимость_по_приобретенным_ценностям,дебиторская_задолженность,финансовые_вложения_(за_исключением_денежных_эквивалентов),денежные_средства_и_денежные_эквиваленты,прочие_оборотные_активы,итого_по_разделу_ii,баланс,"уставный_капитал_(складочный_капитал,_уставный_фонд,_вклады_товарищей)","собственные_акции,_выкупленные_у_акционеров",переоценка_внеоборотных_активов,добавочный_капитал_(без_переоценки),резервный_капитал,нераспределенная_прибыль_(непокрытый_убыток),итого_по_разделу_iii,заемные_средства,отложенные_налоговые_обязательства,оценочные_обязательства,прочие_обязательства,итого_по_разделу_iv,кредиторская_задолженность,доходы_будущих_периодов,итого_по_разделу_v,выручка,себестоимость_продаж,валовая_прибыль_(убыток),коммерческие_расходы,управленческие_расходы,прибыль_(убыток)_от_продаж,доходы_от_участия_в_других_организациях,проценты_к_получению,проценты_к_уплате,прочие_доходы,прочие_расходы,прибыль_(убыток)_до_налогообложения,текущий_налог_на_прибыль,постоянные_налоговые_обязательства_(активы),изменение_отложенных_налоговых_обязательств,изменение_отложенных_налоговых_активов,прочее,чистая_прибыль_(убыток),"результат_от_переоценки_внеоборотных_активов,_не_включаемый_в_чистую_прибыль_(убыток)_периода","результат_от_прочих_операций,_не_включаемый_в_чистую_прибыль_(убыток)_периода",совокупный_финансовый_результат_периода
3917032714,2017,средний,10.01.2007,Действующее,"0,00","0,00","0,00","0,00","49 915 000,00","0,00","0,00","0,00","95 815 000,00","145 730 000,00","246 818 000,00","0,00","1 055 268 000,00","0,00","494 721 000,00","1 035 000,00","1 797 842 000,00","1 943 572 000,00","10 000,00","0,00","0,00","0,00","0,00","64 519 000,00","64 529 000,00","0,00","0,00","0,00","0,00","0,00","1 879 043 000,00","0,00","1 879 043 000,00","1 583 469 000,00","653 845 000,00","929 624 000,00","922 795 000,00","0,00","6 829 000,00","0,00","0,00","0,00","30 882 000,00","30 123 000,00","7 588 000,00","2 725 000,00","0,00","0,00","0,00","0,00","4 863 000,00","0,00","0,00","4 863 000,00"
3917032714,2016,средний,10.01.2007,Действующее,"0,00","0,00","0,00","0,00","41 026 000,00","0,00","0,00","0,00","92 429 000,00","133 455 000,00","224 501 000,00","0,00","1 001 230 000,00","0,00","374 281 000,00","2 312 000,00","1 602 324 000,00","1 735 779 000,00","10 000,00","0,00","0,00","0,00","0,00","59 656 000,00","59 666 000,00","0,00","0,00","0,00","0,00","0,00","1 676 113 000,00","0,00","1 676 113 000,00","1 864 431 000,00","572 966 000,00","1 291 465 000,00","1 278 384 000,00","0,00","13 081 000,00","0,00","0,00","0,00","24 985 000,00","27 450 000,00","10 616 000,00","3 189 000,00","0,00","0,00","0,00","346 000,00","7 081 000,00","0,00","0,00","7 081 000,00"
6674167409,2018,низкий,26.10.2005,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","69 362 000,00","69 362 000,00","0,00","0,00","201 487 000,00","184 921 000,00","0,00","0,00","386 408 000,00","455 770 000,00","0,00","0,00","0,00","69 362 000,00","0,00","0,00","69 362 000,00","10 949 000,00","0,00","0,00","0,00","0,00","375 459 000,00","0,00","386 408 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
6674167409,2017,низкий,26.10.2005,Действующее,"0,00","0,00","0,00","0,00","479 381 000,00","0,00","0,00","0,00","0,00","479 381 000,00","0,00","0,00","201 487 000,00","184 921 000,00","0,00","0,00","386 408 000,00","865 789 000,00","0,00","0,00","0,00","831 137 000,00","0,00","0,00","831 137 000,00","10 534 000,00","0,00","0,00","0,00","0,00","24 118 000,00","0,00","34 652 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 914 000,00","0,00","0,00","431 000,00","1 483 000,00","0,00","0,00","0,00","0,00","0,00","1 483 000,00","0,00","0,00","1 483 000,00"
6674167409,2016,низкий,26.10.2005,Действующее,"0,00","0,00","0,00","0,00","477 070 000,00","0,00","0,00","0,00","0,00","477 070 000,00","0,00","0,00","185 159 000,00","204 765 000,00","162 000,00","0,00","390 086 000,00","867 156 000,00","0,00","0,00","0,00","832 001 000,00","0,00","0,00","832 001 000,00","10 534 000,00","0,00","0,00","0,00","0,00","24 620 000,00","0,00","35 155 000,00","0,00","0,00","0,00","0,00","3 000,00","-3 000,00","0,00","25 703 000,00","0,00","20 967 000,00","20 973 000,00","25 694 000,00","0,00","0,00","0,00","0,00","205 000,00","25 489 000,00","0,00","0,00","25 489 000,00"
4502015142,2018,средний,01.11.2001,Действующее,"0,00","0,00","0,00","0,00","1 991 000,00","0,00","0,00","0,00","0,00","1 991 000,00","72 000,00","0,00","4 119 000,00","0,00","540 000,00","0,00","4 731 000,00","6 722 000,00","0,00","0,00","0,00","0,00","0,00","6 367 000,00","6 367 000,00","0,00","0,00","0,00","0,00","0,00","355 000,00","0,00","355 000,00","8 212 000,00","7 787 000,00","425 000,00","0,00","0,00","425 000,00","0,00","0,00","0,00","0,00","0,00","425 000,00","0,00","0,00","0,00","0,00","0,00","425 000,00","0,00","0,00","425 000,00"
4502015142,2017,средний,01.11.2001,Действующее,"0,00","0,00","0,00","0,00","1 816 000,00","0,00","0,00","0,00","0,00","1 816 000,00","168 000,00","0,00","4 433 000,00","0,00","50 000,00","0,00","4 651 000,00","6 467 000,00","0,00","0,00","0,00","0,00","0,00","5 942 000,00","5 942 000,00","0,00","0,00","0,00","0,00","0,00","525 000,00","0,00","525 000,00","8 156 000,00","6 427 000,00","1 729 000,00","0,00","0,00","1 729 000,00","0,00","0,00","0,00","27 000,00","0,00","1 756 000,00","0,00","0,00","0,00","0,00","0,00","1 756 000,00","0,00","0,00","1 756 000,00"
4502015142,2016,средний,01.11.2001,Действующее,"0,00","0,00","0,00","0,00","1 816 000,00","0,00","0,00","0,00","0,00","1 816 000,00","300 000,00","0,00","2 567 000,00","0,00","1 000,00","0,00","2 868 000,00","4 684 000,00","0,00","0,00","0,00","0,00","0,00","4 186 000,00","4 186 000,00","94 000,00","0,00","0,00","0,00","0,00","404 000,00","0,00","498 000,00","5 941 000,00","6 399 000,00","-458 000,00","0,00","0,00","-458 000,00","0,00","0,00","0,00","0,00","0,00","-458 000,00","0,00","0,00","0,00","0,00","0,00","-458 000,00","0,00","0,00","-458 000,00"
6311097317,2018,низкий,28.04.2007,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","105 000,00","10 000,00","0,00","158 000,00","273 000,00","273 000,00","10 000,00","0,00","0,00","0,00","0,00","0,00","10 000,00","0,00","1 000,00","0,00","0,00","1 000,00","262 000,00","0,00","262 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
6311097317,2017,низкий,28.04.2007,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","19 000,00","0,00","19 000,00","53 000,00","265 000,00","3 136 000,00","0,00","108 000,00","-56 000,00","3 506 000,00","3 525 000,00","10 000,00","0,00","0,00","0,00","0,00","204 000,00","214 000,00","0,00","1 000,00","0,00","0,00","1 000,00","3 310 000,00","0,00","3 310 000,00","7 870 000,00","7 688 000,00","182 000,00","0,00","0,00","182 000,00","0,00","0,00","0,00","0,00","23 000,00","159 000,00","33 000,00","0,00","0,00","0,00","0,00","126 000,00","0,00","0,00","126 000,00"
6311097317,2016,низкий,28.04.2007,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","19 000,00","0,00","19 000,00","53 000,00","14 000,00","3 802 000,00","0,00","52 000,00","-56 000,00","3 865 000,00","3 884 000,00","10 000,00","0,00","0,00","0,00","0,00","97 000,00","107 000,00","0,00","1 000,00","0,00","0,00","1 000,00","3 776 000,00","0,00","3 776 000,00","3 745 000,00","3 624 000,00","121 000,00","0,00","0,00","121 000,00","0,00","0,00","0,00","0,00","16 000,00","105 000,00","23 000,00","0,00","0,00","0,00","0,00","82 000,00","0,00","0,00","82 000,00"
2347008948,2018,низкий,05.04.1999,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","8 000,00","0,00","8 000,00","8 000,00","8 000,00","0,00","0,00","0,00","0,00","0,00","8 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2347008948,2017,низкий,05.04.1999,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2 000,00","0,00","9 000,00","0,00","11 000,00","11 000,00","8 000,00","0,00","0,00","0,00","0,00","3 000,00","11 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
2347008948,2016,низкий,05.04.1999,Действующее,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2 000,00","0,00","9 000,00","0,00","11 000,00","11 000,00","8 000,00","0,00","0,00","0,00","0,00","3 000,00","11 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
7714816460,2018,средний,26.08.2010,Действующее,"0,00","0,00","0,00","0,00","38 186 000,00","0,00","0,00","0,00","0,00","38 186 000,00","144 059 000,00","19 110 000,00","67 658 000,00","0,00","66 675 000,00","1 935 000,00","299 437 000,00","337 622 000,00","74 300 000,00","0,00","0,00","0,00","40 121 000,00","171 094 000,00","285 515 000,00","0,00","0,00","3 672 000,00","0,00","220 000,00","48 215 000,00","0,00","51 887 000,00","534 146 000,00","419 275 000,00","114 871 000,00","46 913 000,00","18 008 000,00","49 950 000,00","0,00","76 000,00","2 000,00","45 822 000,00","30 041 000,00","65 805 000,00","13 095 000,00","0,00","0,00","0,00","-36 000,00","52 674 000,00","0,00","0,00","52 674 000,00"
7714816460,2017,средний,26.08.2010,Действующее,"0,00","0,00","0,00","0,00","2 434 000,00","0,00","0,00","0,00","1 000,00","2 434 000,00","77 870 000,00","6 222 000,00","64 272 000,00","0,00","47 651 000,00","66 000,00","196 080 000,00","198 515 000,00","4 300 000,00","0,00","0,00","0,00","40 121 000,00","118 420 000,00","162 842 000,00","0,00","0,00","3 302 000,00","0,00","604 000,00","31 768 000,00","0,00","35 069 000,00","561 721 000,00","471 677 000,00","90 044 000,00","38 844 000,00","16 432 000,00","34 768 000,00","0,00","28 000,00","4 000,00","29 001 000,00","19 161 000,00","44 632 000,00","8 981 000,00","0,00","0,00","0,00","-10 000,00","35 641 000,00","0,00","0,00","35 641 000,00"
7714816460,2016,средний,26.08.2010,Действующее,"0,00","0,00","0,00","0,00","2 060 000,00","0,00","0,00","0,00","8 000,00","2 068 000,00","79 244 000,00","1 097 000,00","61 701 000,00","0,00","32 360 000,00","227 000,00","174 629 000,00","176 697 000,00","4 300 000,00","0,00","0,00","0,00","40 121 000,00","82 779 000,00","127 200 000,00","0,00","0,00","2 127 000,00","0,00","988 000,00","46 382 000,00","0,00","48 509 000,00","438 364 000,00","354 314 000,00","84 050 000,00","34 261 000,00","16 590 000,00","33 199 000,00","0,00","20 000,00","6 000,00","36 846 000,00","41 705 000,00","28 354 000,00","5 791 000,00","0,00","0,00","0,00","0,00","22 563 000,00","0,00","0,00","22 563 000,00"
